from,to,distance
(1545/5303),(1834/6703),29
(1683/5203),(1545/5303),3
(1683/5203),(2016/6803),33
(1769/5103),(1683/5203),2
(1769/5103),(2144/6853),36
(1879/5053),(1769/5103),2
(1879/5053),(2275/6903),38
(1960/4953),(1879/5053),2
(1960/4953),(2393/6903),40
(2016/6803),(1834/6703),4
(2072/4853),(1960/4953),3
(2072/4853),(2518/6953),43
(2144/6853),(2016/6803),2
(2188/4803),(2072/4853),2
(2188/4803),(2640/6953),44
(2275/6903),(2144/6853),2
(2309/4703),(2188/4803),3
(2309/4703),(2768/6953),46
(2393/6903),(2275/6903),2
(2466/4553),(2309/4703),4
(2466/4553),(2869/6953),49
(2518/6953),(2393/6903),2
(2567/4503),(2466/4553),2
(2567/4503),(2936/6953),50
(2640/6953),(2518/6953),2
(2657/4453),(2567/4503),2
(2657/4453),(3037/6953),51
(2719/4353),(2657/4453),2
(2719/4353),(3166/6953),55
(2768/6953),(2640/6953),2
(2843/4303),(2719/4353),2
(2843/4303),(3426/7153),58
(2869/6953),(2768/6953),2
(2931/4203),(2843/4303),2
(2931/4203),(3553/7153),60
(2936/6953),(2869/6953),1
(3037/6953),(2936/6953),2
(3050/4103),(2931/4203),3
(3050/4103),(3688/7203),63
(3166/4053),(3050/4103),2
(3166/4053),(3827/7253),65
(3166/6953),(3166/6953),0
(3166/6953),(3278/7053),4
(3269/3953),(3166/4053),2
(3269/3953),(3979/7303),68
(3278/7053),(3037/6953),5
(3278/7053),(3278/7053),0
(3369/3853),(3269/3953),2
(3369/3853),(4118/7353),71
(3426/7153),(3278/7053),3
(3495/3803),(3369/3853),2
(3495/3803),(4238/7353),72
(3553/7153),(3426/7153),2
(3567/3703),(3495/3803),2
(3567/3703),(4361/7353),74
(3683/3603),(3567/3703),3
(3683/3603),(4481/7353),76
(3688/7203),(3553/7153),2
(3792/3553),(3683/3603),2
(3792/3553),(4595/7353),77
(3827/7253),(3688/7203),2
(3902/3453),(3792/3553),2
(3902/3453),(5081/9203),116
(3979/7303),(3827/7253),3
(4013/3403),(3902/3453),2
