from,to,distance
(4013/3403),(5745/12403),181
(4100/3303),(4013/3403),2
(4100/3303),(5849/12303),181
(4118/7353),(3979/7303),2
(4209/3203),(4100/3303),2
(4209/3203),(5961/12303),183
(4238/7353),(4118/7353),2
(4326/3153),(4209/3203),2
(4326/3153),(6073/12253),183
(4361/7353),(4238/7353),2
(4405/3053),(4326/3153),2
(4405/3053),(6192/12203),184
(4462/3003),(4405/3053),1
(4462/3003),(6304/12153),184
(4481/7353),(4361/7353),2
(4505/3003),(4462/3003),0
(4505/3003),(6414/12103),183
(4590/2953),(4505/3003),1
(4590/2953),(6519/12053),183
(4595/7353),(4481/7353),2
(4595/7353),(4769/8203),18
(4716/2803),(4590/2953),3
(4716/2803),(6616/12003),185
(4791/8303),(4791/8303),1
(4826/2753),(4716/2803),2
(4826/2753),(6712/11953),185
(4853/9203),(5221/11453),46
(4941/2653),(4826/2753),3
(4941/2653),(6818/11903),186
(4947/9153),(4853/9203),2
(4947/9153),(5498/12453),67
(5044/2553),(4941/2653),2
(5044/2553),(6915/11853),187
(5081/9203),(4947/9153),2
(5081/9203),(5620/12453),66
(5157/2503),(5044/2553),2
(5157/2503),(7037/11803),187
(5240/11553),(5240/11553),1
(5263/2403),(5157/2503),2
(5263/2403),(7142/11753),188
(5266/11703),(5266/11703),1
(5395/2303),(5263/2403),3
(5395/2303),(7245/11703),189
(5488/2203),(5395/2303),2
(5488/2203),(7359/11653),190
(5594/2153),(5488/2203),2
(5594/2153),(7492/11603),190
(5620/12453),(5498/12453),2
(5693/2103),(5594/2153),2
(5693/2103),(7606/11553),190
(5745/12403),(5620/12453),2
(5801/2003),(5693/2103),2
(5801/2003),(7722/11503),191
(5849/12303),(5745/12403),2
(5906/1903),(5801/2003),2
(5906/1903),(7839/11453),192
(5961/12303),(5849/12303),2
(5996/1803),(5906/1903),2
(5996/1803),(7957/11403),193
(6073/12253),(5961/12303),2
(6117/1753),(5996/1803),2
(6117/1753),(8073/11353),193
(6192/12203),(6073/12253),2
(6212/1653),(6117/1753),2
(6212/1653),(8197/11303),194
(6304/12153),(6192/12203),2
(6322/1553),(6212/1653),2
(6322/1553),(8309/11253),195
(6414/12103),(6304/12153),2
(6429/1503),(6322/1553),2
(6429/1503),(8422/11203),195
(6519/12053),(6414/12103),2
(6568/1453),(6429/1503),2
(6568/1453),(8521/11153),195
(6616/12003),(6519/12053),2
(6684/1403),(6568/1453),2
(6684/1403),(8640/11103),195
(6712/11953),(6616/12003),2
(6799/1353),(6684/1403),2
(6799/1353),(8767/11053),195
(6818/11903),(6712/11953),2
(6902/1303),(6799/1353),2
(6902/1303),(8898/11003),195
(6915/11853),(6818/11903),2
(7030/1253),(6902/1303),2
(7030/1253),(9011/10903),194
(7037/11803),(6915/11853),2
(7141/1203),(7030/1253),2
(7141/1203),(9117/10853),194
(7142/11753),(7037/11803),2
(7245/11703),(7142/11753),2
(7248/1153),(7141/1203),2
(7248/1153),(9231/10803),194
(7354/1053),(7248/1153),2
(7354/1053),(9343/10753),195
(7359/11653),(7245/11703),2
(7477/1003),(7354/1053),2
(7477/1003),(9461/10753),196
(7492/11603),(7359/11653),2
(7592/953),(7477/1003),2
(7592/953),(9574/10653),195
(7606/11553),(7492/11603),2
(7722/11503),(7606/11553),2
(7739/853),(7592/953),3
(7739/853),(9682/10603),196
(7836/803),(7739/853),2
(7836/803),(9802/10553),196
(7839/11453),(7722/11503),2
(7953/753),(7836/803),2
(7953/753),(9932/10503),196
(7957/11403),(7839/11453),2
(8072/753),(7953/753),2
(8072/753),(10061/10453),195
(8073/11353),(7957/11403),2
(8189/803),(8072/753),2
(8189/803),(10189/10403),193
(8197/11303),(8073/11353),2
(8309/11253),(8197/11303),2
(8315/803),(8189/803),2
(8315/803),(10293/10353),192
(8422/11203),(8309/11253),2
(8451/803),(8315/803),2
(8451/803),(9342/5353),92
(8521/11153),(8422/11203),2
(8532/803),(8451/803),1
(8532/803),(10357/10303),280
(8560/803),(8532/803),0
(8560/803),(8560/803),0
(8560/803),(10449/10303),324
(8640/11103),(8521/11153),2
(8732/853),(8560/803),3
(8732/853),(10556/10253),189
(8767/11053),(8640/11103),2
(8876/903),(8732/853),3
(8876/903),(10649/10203),187
(8898/11003),(8767/11053),2
(9011/10903),(8898/11003),3
(9029/953),(8876/903),3
(9029/953),(10766/10153),185
(9117/10853),(9011/10903),2
(9168/953),(9029/953),2
(9168/953),(10879/10103),187
(9231/10803),(9117/10853),2
(9327/1003),(9168/953),3
(9327/1003),(11000/10053),182
(9343/10753),(9231/10803),2
(9461/1053),(9327/1003),2
(9461/1053),(11136/9953),179
(9461/10753),(9343/10753),2
(9574/10653),(9461/10753),3
(9594/1053),(9461/1053),2
(9594/1053),(11265/9903),179
(9682/10603),(9574/10653),2
(9722/1153),(9594/1053),3
(9722/1153),(11401/9853),175
(9802/10553),(9682/10603),2
(9849/1203),(9722/1153),2
(9849/1203),(11515/9803),173
(9932/10503),(9802/10553),2
(10003/1303),(9849/1203),3
(10003/1303),(11630/9753),170
(10061/10453),(9932/10503),2
(10118/1353),(10003/1303),2
(10118/1353),(11742/9703),168
(10169/1353),(10118/1353),1
(10169/1353),(11806/9703),168
(10187/1353),(10169/1353),0
(10187/1353),(10196/1403),2
(10189/10403),(10061/10453),2
(10190/1353),(10169/1353),0
(10190/1353),(10187/1353),0
(10190/1353),(10190/1353),0
(10190/1353),(10805/4353),151
(10195/1353),(10190/1353),0
(10195/1353),(10195/1353),0
(10195/1353),(11860/9653),181
(10200/1353),(10195/1353),0
(10200/1353),(10253/1703),8
(10210/1353),(10195/1353),0
(10210/1353),(10200/1353),0
(10210/1353),(10210/1353),0
(10210/1353),(10509/2803),51
(10218/1353),(10210/1353),0
(10218/1353),(10256/1653),7
(10232/1353),(10210/1353),0
(10232/1353),(10218/1353),0
(10232/1353),(10278/1703),8
(10293/10353),(10189/10403),2
(10297/1353),(10210/1353),1
(10297/1353),(10232/1353),1
(10297/1353),(11969/9603),166
(10357/10303),(10293/10353),1
(10413/1303),(10297/1353),2
(10413/1303),(12114/9553),166
(10449/10303),(10357/10303),1
(10534/1303),(10413/1303),2
(10534/1303),(12210/9503),165
(10556/10253),(10449/10303),2
(10649/10203),(10556/10253),2
(10653/1303),(10534/1303),2
(10653/1303),(12313/9453),164
(10766/10153),(10649/10203),2
(10774/1303),(10653/1303),2
(10774/1303),(12427/9403),163
(10879/10103),(10766/10153),2
(10908/1353),(10774/1303),2
(10908/1353),(12545/9353),161
(11000/10053),(10879/10103),2
(11012/1353),(10908/1353),2
(11012/1353),(12670/9303),160
(11116/1353),(11012/1353),2
(11116/1353),(12798/9253),159
(11136/9953),(11000/10053),3
(11248/1403),(11116/1353),2
(11248/1403),(12901/9203),157
(11386/1403),(11248/1403),2
(11386/1403),(13006/9153),156
(11515/9803),(11401/9853),2
(11532/1453),(11386/1403),3
(11532/1453),(13142/9103),154
(11630/9753),(11515/9803),2
(11665/1503),(11532/1453),2
(11665/1503),(13271/9053),152
(11742/9703),(11630/9753),2
(11790/1553),(11665/1503),2
(11790/1553),(13385/9003),150
(11806/9703),(11742/9703),1
(11860/9653),(11806/9703),1
(11910/1603),(11790/1553),2
(11910/1603),(13493/8953),148
(11969/9603),(11860/9653),2
(12033/1653),(11910/1603),2
(12033/1653),(13608/8853),145
(12114/9553),(11969/9603),3
(12202/1803),(12033/1653),4
(12202/1803),(13730/8853),142
(12210/9503),(12114/9553),2
(12313/9453),(12210/9503),2
(12352/1903),(12202/1803),3
(12352/1903),(13807/8803),139
(12427/9403),(12313/9453),2
(12444/2003),(12352/1903),2
(12444/2003),(13851/8753),136
(12545/9353),(12427/9403),2
(12576/2153),(12444/2003),3
(12576/2153),(13361/5953),77
(12653/2203),(12576/2153),1
(12653/2203),(13936/8753),132
(12670/9303),(12545/9353),2
(12773/2303),(12653/2203),3
(12773/2303),(14071/8653),128
(12798/9253),(12670/9303),2
(12901/9203),(12798/9253),2
(12912/2403),(12773/2303),3
(12912/2403),(14171/8603),125
(13006/9153),(12901/9203),2
(13065/2453),(12912/2403),3
(13065/2453),(14278/8553),123
(13142/9103),(13006/9153),2
(13199/2503),(13065/2453),2
(13199/2503),(14397/8553),122
(13271/9053),(13142/9103),2
(13334/2553),(13199/2503),2
(13334/2553),(14057/6353),77
(13385/9003),(13271/9053),2
(13463/2603),(13334/2553),2
(13463/2603),(14177/6353),76
(13493/8953),(13385/9003),2
(13583/2603),(13463/2603),2
(13583/2603),(14286/6303),75
(13608/8853),(13493/8953),3
(13678/2603),(13583/2603),1
(13678/2603),(14365/6103),71
(13730/8853),(13608/8853),2
(13789/2703),(13806/2753),2
(13807/8803),(13730/8853),1
(13826/2853),(13839/2903),2
(13851/8753),(13807/8803),1
(13877/3103),(13901/3203),3
(13936/8753),(13851/8753),1
(13949/3403),(14449/5953),52
(14057/6353),(14499/8503),44
(14071/8653),(13936/8753),3
(14171/8603),(14071/8653),2
(14177/6353),(14057/6353),2
(14177/6353),(14590/8453),43
(14278/8553),(14171/8603),2
(14286/6303),(14177/6353),2
(14365/6103),(14286/6303),4
(14397/8553),(14278/8553),2
(14449/5953),(14365/6103),3
(14499/8503),(14397/8553),2
(14590/8453),(14499/8503),2
