from,to,distance
(1487/6025),(1787/7425),29
(1679/5875),(1487/6025),4
(1679/5875),(2070/7525),34
(1884/5725),(1679/5875),5
(1884/5725),(2334/7625),39
(2070/7525),(1787/7425),6
(2095/5575),(1884/5725),5
(2095/5575),(2579/7675),43
(2292/5425),(2095/5575),4
(2292/5425),(2796/7725),47
(2334/7625),(2070/7525),5
(2483/5225),(2292/5425),5
(2483/5225),(3009/7725),51
(2579/7675),(2334/7625),5
(2693/5075),(2483/5225),5
(2693/5075),(3265/7775),55
(2796/7725),(2579/7675),4
(2915/4925),(2693/5075),5
(2915/4925),(3527/7875),60
(3009/7725),(2796/7725),4
(3127/4775),(2915/4925),5
(3127/4775),(3788/7975),65
(3265/7775),(3009/7725),5
(3348/4575),(3127/4775),5
(3348/4575),(4043/8025),70
(3527/7875),(3265/7775),5
(3538/4425),(3348/4575),4
(3538/4425),(4317/8125),75
(3741/4275),(3538/4425),5
(3741/4275),(4570/8175),79
(3788/7975),(3527/7875),5
(3936/4125),(3741/4275),4
(3936/4125),(5858/12925),177
(4043/8025),(3788/7975),5
(4164/3925),(3936/4125),6
(4164/3925),(6077/12825),179
(4317/8125),(4043/8025),5
(4366/3775),(4164/3925),5
(4366/3775),(6287/12725),180
(4570/8175),(4317/8125),5
(4570/8175),(4965/9825),34
(4580/3625),(4366/3775),5
(4580/3625),(6488/12625),181
(4732/9825),(5407/13075),66
(4785/3425),(4580/3625),5
(4785/3425),(6695/12575),184
(4965/9825),(4732/9825),4
(4965/9825),(5637/13025),65
(5006/3275),(4785/3425),5
(5006/3275),(6894/12475),185
(5199/3125),(5006/3275),4
(5199/3125),(7105/12325),185
(5408/2975),(5199/3125),5
(5408/2975),(7313/12275),187
(5610/2775),(5408/2975),5
(5610/2775),(7528/12175),189
(5637/13025),(5407/13075),4
(5826/2625),(5610/2775),5
(5826/2625),(7748/12075),190
(5858/12925),(5637/13025),4
(6046/2475),(5826/2625),5
(6046/2475),(7961/11975),191
(6077/12825),(5858/12925),4
(6250/2375),(6046/2475),4
(6250/2375),(8148/11875),191
(6287/12725),(6077/12825),4
(6476/2275),(6250/2375),4
(6476/2275),(8358/11775),191
(6488/12625),(6287/12725),4
(6695/12575),(6488/12625),4
(6704/2175),(6476/2275),4
(6704/2175),(8591/11675),191
(6894/12475),(6695/12575),4
(6935/2025),(6704/2175),5
(6935/2025),(8817/11575),192
(7105/12325),(6894/12475),5
(7160/1925),(6935/2025),4
(7160/1925),(9026/11475),192
(7313/12275),(7105/12325),4
(7390/1825),(7160/1925),5
(7390/1825),(9238/11375),192
(7528/12175),(7313/12275),4
(7616/1725),(7390/1825),4
(7616/1725),(9458/11275),192
(7748/12075),(7528/12175),4
(7838/1625),(7616/1725),4
(7838/1625),(9688/11175),192
(7961/11975),(7748/12075),4
(8063/1675),(7838/1625),4
(8063/1675),(9930/11075),189
(8148/11875),(7961/11975),4
(8307/1725),(8063/1675),4
(8307/1725),(10175/10975),186
(8358/11775),(8148/11875),4
(8564/1775),(8307/1725),5
(8564/1775),(10401/10825),182
(8591/11675),(8358/11775),5
(8804/1825),(8564/1775),4
(8804/1825),(10601/10725),179
(8817/11575),(8591/11675),4
(9026/11475),(8817/11575),4
(9043/1925),(8804/1825),5
(9043/1925),(10825/10625),175
(9238/11375),(9026/11475),4
(9288/1975),(9043/1925),5
(9288/1975),(11073/10525),172
(9458/11275),(9238/11375),4
(9529/1975),(9288/1975),4
(9529/1975),(11319/10425),170
(9688/11175),(9458/11275),5
(9770/1975),(9529/1975),4
(9770/1975),(11544/10325),168
(9930/11075),(9688/11175),5
(10011/1975),(9770/1975),4
(10011/1975),(11778/10225),166
(10175/10975),(9930/11075),5
(10250/1925),(10011/1975),4
(10250/1925),(11988/10125),165
(10401/10825),(10175/10975),5
(10489/1925),(10250/1925),4
(10489/1925),(12186/10025),163
(10601/10725),(10401/10825),4
(10727/1925),(10489/1925),4
(10727/1925),(12426/9925),161
(10825/10625),(10601/10725),4
(10977/1975),(10727/1925),5
(10977/1975),(12647/9825),158
(11073/10525),(10825/10625),5
(11229/2025),(10977/1975),5
(11229/2025),(12872/9725),155
(11319/10425),(11073/10525),5
(11488/2125),(11229/2025),5
(11488/2125),(13094/9625),151
(11544/10325),(11319/10425),4
(11739/2175),(11488/2125),5
(11739/2175),(13302/9475),147
(11778/10225),(11544/10325),5
(11988/10125),(11778/10225),4
(12010/2325),(11739/2175),6
(12010/2325),(13525/9425),143
(12186/10025),(11988/10125),4
(12322/2625),(12010/2325),8
(12322/2625),(13750/9325),135
(12426/9925),(12186/10025),5
(12618/2875),(12322/2625),7
(12618/2875),(13964/9225),128
(12647/9825),(12426/9925),4
(12872/9725),(12647/9825),4
(12898/2975),(12618/2875),5
(12898/2975),(14152/9125),124
(13094/9625),(12872/9725),4
(13144/3025),(12898/2975),5
(13144/3025),(13969/6975),80
(13302/9475),(13094/9625),5
(13413/3125),(13144/3025),5
(13413/3125),(14185/6875),76
(13525/9425),(13302/9475),4
(13671/3175),(13413/3125),5
(13671/3175),(14369/6625),70
(13750/9325),(13525/9425),4
(13964/9225),(13750/9325),4
(13969/6975),(14406/9025),42
(14152/9125),(13964/9225),4
(14185/6875),(13969/6975),4
(14369/6625),(14185/6875),6
(14406/9025),(14152/9125),5
